locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
cg1708,cg1708,BX927147.1,,1597308.0,1597688.0,-,conserved hypothetical protein,No COG annotation,,Op969
cg1709,cysS2,BX927147.1,,1597713.0,1598975.0,-,PUTATIVE CYSTEINE TRNA SYNTHETASE,"Translation, ribosomal structure and biogenesis",,Op969
cg1710,bacA,BX927147.1,,1599209.0,1600012.0,-,BACITRACIN RESISTANCE PUTATIVE UNDECAPRENOL KINASE,Defense mechanisms,,Op970
cg1711,cg1711,BX927147.1,,1600146.0,1601084.0,+,oxidoreductase,Energy production and conversion,,Op971
cg1712,lppL,BX927147.1,,1601122.0,1602147.0,+,SECRETED LIPOPROTEIN,Function unknown,,Op971
cg1713,pyrD,BX927147.1,,1602159.0,1603274.0,+,DIHYDROOROTATE DEHYDROGENASE,Nucleotide transport and metabolism,,Op971
cg1714,cg1714,BX927147.1,,1603395.0,1603748.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op972
cg1715,cg1715,BX927147.1,,1604127.0,1604936.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op973
cg1716,tnp16b(ISCg16b),BX927147.1,,1604939.0,1606099.0,+,transposase,"Replication, recombination and repair",,Op973
cg1717,cg1717,BX927147.1,,1606294.0,1606728.0,-,putative membrane protein,No COG annotation,,Op974
cg1718,cg1718,BX927147.1,,1606745.0,1607278.0,-,Phospholipid-binding protein,Function unknown,,Op974
cg1719,tetB,BX927147.1,,1607325.0,1609124.0,-,ABC-type multidrug/protein/lipid transport system%2C ATPase component,Defense mechanisms,,Op975
cg1720,tetA,BX927147.1,,1609125.0,1610714.0,-,ABC-type multidrug/protein/lipid transport system%2C ATPase component,Defense mechanisms,,Op975
cg1722,cg1722,BX927147.1,,1611703.0,1612314.0,+,GCN5-related N-acetyltransferase,Transcription,,Op976
cg1724,cg1724,BX927147.1,,1612614.0,1613705.0,-,putative protein kinase ArgK or related GTPase of G3E family,Amino acid transport and metabolism,,Op977
cg1725,mcmB,BX927147.1,,1613698.0,1615911.0,-,METHYLMALONYL-COA MUTASE LARGE SUBUNIT,Lipid transport and metabolism,,Op977
cg1726,mcmA,BX927147.1,,1615915.0,1617765.0,-,METHYLMALONYL-COA MUTASE SMALL SUBUNIT,Lipid transport and metabolism,,Op977
cg1727,cg1727,BX927147.1,,1617994.0,1618770.0,+,putative membrane protein,Function unknown,,Op978
cg1728,cg1728,BX927147.1,,1618865.0,1619464.0,+,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",,Op979
cg1730,cg1730,BX927147.1,,1619785.0,1621083.0,-,secreted protease subunit%2C stomatin/prohibitin homolog,"Post-translational modification, protein turnover, and chaperones",,Op980
cg1731,cg1731,BX927147.1,,1621136.0,1621564.0,-,Membrane protein implicated in regulation of membrane protease activity,"Post-translational modification, protein turnover, and chaperones",,Op981
cg1732,cg1732,BX927147.1,,1621631.0,1622476.0,-,conserved hypothetical protein,Function unknown,,Op982
cg1733,cg1733,BX927147.1,,1622523.0,1623308.0,+,conserved hypothetical protein,No COG annotation,,Op983
cg1734,hemH,BX927147.1,,1623305.0,1624417.0,-,FERROCHELATASE PRECURSOR,Coenzyme transport and metabolism,,Op984
cg1735,cg1735,BX927147.1,,1624491.0,1626305.0,-,secreted cell wall-associated hydrolase (invasion-associated protein),"Cell cycle control, cell division, chromosome partitioning",,Op985
cg1736,cg1736,BX927147.1,,1626892.0,1627392.0,-,putative membrane protein,No COG annotation,,Op986
cg1737,acn,BX927147.1,,1627746.0,1630577.0,+,ACONITASE,Energy production and conversion,,Op987
cg1738,cg1738,BX927147.1,,1630765.0,1631331.0,+,TRANSCRIPTIONAL REGULATOR%2C TETR FAMILY,Transcription,,Op988
cg1739,cg1739,BX927147.1,,1631380.0,1632138.0,+,Glutamine amidotransferase domain,Nucleotide transport and metabolism,,Op989
cg1740,cg1740,BX927147.1,,1632131.0,1632805.0,-,putative nucleoside-diphosphate-sugar epimerase,Carbohydrate transport and metabolism,,Op990
cg1741,cg1741,BX927147.1,,1632817.0,1633071.0,-,putative membrane protein,Function unknown,,Op990
cg1742,cg1742,BX927147.1,,1633139.0,1633396.0,+,ACT domain-containing protein,Signal transduction mechanisms,,Op991
cg1743,cg1743,BX927147.1,,1633406.0,1634794.0,+,conserved hypothetical protein,Function unknown,,Op991
cg1744,pacL,BX927147.1,,1635033.0,1637711.0,+,CATION-TRANSPORTING ATPASE,Inorganic ion transport and metabolism,,Op992
cg1745,cg1745,BX927147.1,,1637708.0,1638184.0,-,putative signal recognition particle GTPase,Function unknown,,Op993
cg1746,cg1746,BX927147.1,,1638548.0,1639912.0,+,putative membrane protein,No COG annotation,,Op994
cg1748,cg1748,BX927147.1,,1640832.0,1640990.0,+,putative secreted protein,No COG annotation,,Op995
cg1749,cg1749,BX927147.1,,1641123.0,1641287.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op996
cg1750,cg1750,BX927147.1,,1641383.0,1641625.0,+,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,,Op997
cg1751,cg1751,BX927147.1,,1641620.0,1642021.0,-,putative membrane protein,No COG annotation,,Op998
cg1752,'int,BX927147.1,,1642013.0,1642471.0,+,putative phage integrase-fragment,"Replication, recombination and repair",,Op999
cg1753,cg1753,BX927147.1,,1642510.0,1644141.0,-,ATPase component of ABC transporters with duplicated ATPase domains,Function unknown,,Op1000
cg1754,cg1754,BX927147.1,,1644207.0,1645685.0,-,putative membrane protein,Function unknown,,Op1001
cg1756,nanH,BX927147.1,,1645782.0,1646981.0,-,SECRETED SIALIDASE,Carbohydrate transport and metabolism,,Op1002
cg1758,cg1758,BX927147.1,,1648016.0,1648603.0,+,putative membrane protein,No COG annotation,,Op1003
cg1759,cg1759,BX927147.1,,1648676.0,1649089.0,-,Predicted metal-sulfur cluster biosynthetic enzyme,Function unknown,,Op1004
cg1760,cg1760,BX927147.1,,1649115.0,1649564.0,-,NifU homologs involved in Fe-S cluster formation,Energy production and conversion,,Op1004
cg1761,nifS2,BX927147.1,,1649564.0,1650829.0,-,CYSTEINE DESULFHYDRASE / SELENOCYSTEINE LYASE,Amino acid transport and metabolism,,Op1004
cg1762,sufC,BX927147.1,,1650831.0,1651589.0,-,Iron-regulated ABC transporter ATPase subunit,"Post-translational modification, protein turnover, and chaperones",,Op1004
cg1763,sufD,BX927147.1,,1651713.0,1652891.0,-,components of an uncharacterized iron-regulated ABC-type transporter,"Post-translational modification, protein turnover, and chaperones",,Op1004
cg1764,sufB,BX927147.1,,1652897.0,1654342.0,-,component of an uncharacterized iron-regulated ABC-type transporter,"Post-translational modification, protein turnover, and chaperones",,Op1004
cg1765,cg1765,BX927147.1,,1654358.0,1655044.0,-,Predicted transcriptional regulator,Transcription,,Op1004
cg1766,cg1766,BX927147.1,,1655333.0,1657141.0,+,putative membrane protein,Function unknown,,Op1005
cg1767,cg1767,BX927147.1,,1657148.0,1658170.0,+,ABC-type multidrug transport system%2C ATPase component,Defense mechanisms,,Op1005
cg1768,cg1768,BX927147.1,,1658179.0,1658985.0,+,ABC-type multidrug transport system%2C permease component,Defense mechanisms,,Op1005
cg1769,ctaA,BX927147.1,,1659105.0,1660145.0,+,Cytochrome oxidase assembly protein,"Post-translational modification, protein turnover, and chaperones",,Op1005
cg1770,cg1770,BX927147.1,,1660255.0,1662606.0,+,DNA or RNA helicase of superfamily II,"Replication, recombination and repair",,Op1006
cg1771,qor,BX927147.1,,1663036.0,1664022.0,+,PROBABLE NADPH:QUINONE REDUCTASE%2C ZETA-CRYSTALLIN,Energy production and conversion,,Op1007
cg1773,ctaB,BX927147.1,,1664094.0,1665065.0,-,Polyprenyltransferase (cytochrome oxidase assembly factor),"Post-translational modification, protein turnover, and chaperones",,Op1008
cg1774,tkt,BX927147.1,,1665870.0,1667972.0,+,TRANSKETOLASE,Carbohydrate transport and metabolism,,Op1009
cg1776,tal,BX927147.1,,1668140.0,1669222.0,+,TRANSALDOLASE,Coenzyme transport and metabolism,,Op1009
cg1778,zwf,BX927147.1,,1669327.0,1670871.0,+,GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE,Carbohydrate transport and metabolism,,Op1009
cg1779,opcA,BX927147.1,,1670886.0,1671845.0,+,putative Glucose-6-phosphate dehydrogenase assembly protein OpcA,Carbohydrate transport and metabolism,,Op1009
cg1780,devB,BX927147.1,,1671862.0,1672569.0,+,PUTATIVE 6-PHOSPHOGLUCONOLACTONASE,Carbohydrate transport and metabolism,,Op1009
cg1781,'soxA,BX927147.1,,1672737.0,1673144.0,-,sarcosine oxidase-fragment,Amino acid transport and metabolism,,Op1010
cg1782,tnp13b(ISCg13b),BX927147.1,,1673190.0,1674593.0,+,transposase,"Replication, recombination and repair",,Op1011
cg1783,soxA',BX927147.1,,1674730.0,1675572.0,-,sarcosine oxidase-N-terminal fragment,Amino acid transport and metabolism,,Op1012
cg1784,ocd,BX927147.1,,1675587.0,1676735.0,-,PROBABLE ORNITHINE CYCLODEAMINASE PROTEIN,Amino acid transport and metabolism,,Op1012
cg1785,amt,BX927147.1,,1676732.0,1678090.0,-,high-affinity ammonia permease,"Intracellular trafficking, secretion, and vesicular transport",,Op1012
cg1786,secG,BX927147.1,,1678513.0,1678746.0,-,Preprotein translocase SecG subunit,"Intracellular trafficking, secretion, and vesicular transport",,Op1013
cg1787,ppc,BX927147.1,,1678851.0,1681610.0,-,PHOSPHOENOLPYRUVATE CARBOXYLASE,Coenzyme transport and metabolism,,Op1014
cg1789,tpi,BX927147.1,,1681797.0,1682576.0,-,TRIOSEPHOSPHATE ISOMERASE,Carbohydrate transport and metabolism,,Op1015
cg1790,pgk,BX927147.1,,1682655.0,1683872.0,-,PHOSPHOGLYCERATE KINASE,Nucleotide transport and metabolism,,Op1015
cg1791,gap,BX927147.1,,1684089.0,1685093.0,-,GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE,Carbohydrate transport and metabolism,,Op1015
cg1792,cg1792,BX927147.1,,1685582.0,1686565.0,-,putative transcriptional regulator-WhiA homolog,Transcription,,Op1016
cg1793,cg1793,BX927147.1,,1686575.0,1687600.0,-,conserved hypothetical protein,Function unknown,,Op1016
cg1794,cg1794,BX927147.1,,1687617.0,1688546.0,-,Uncharacterised P-loop ATPase protein,Function unknown,,Op1016
cg1795,uvrC,BX927147.1,,1688568.0,1690658.0,-,Nuclease subunit of the excinuclease ABC complex,"Replication, recombination and repair",,Op1016
cg1796,ribX,BX927147.1,,1690666.0,1691247.0,-,putative membrane protein-C. ammoniagenes RibX homolog,Function unknown,,Op1016
cg1797,ribH,BX927147.1,,1691334.0,1691813.0,-,RIBOFLAVIN SYNTHASE%2C BETA CHAIN,Coenzyme transport and metabolism,,Op1017
cg1798,ribA,BX927147.1,,1691825.0,1693093.0,-,PUTATIVE GTP CYCLOHYDROLASE II/3%2C4-DIHYDROXY-2-BUTANONE-4-PHOSPHATESYNTHASE,Coenzyme transport and metabolism,,Op1017
cg1799,ribC,BX927147.1,,1693104.0,1693739.0,-,PUTATIVE RIBOFLAVIN SYNTHASE,Coenzyme transport and metabolism,,Op1017
cg1800,ribG,BX927147.1,,1693740.0,1694726.0,-,PUTATIVE BIFUNCTIONAL RIBOFLAVIN-SPECIFIC DEAMINASE/REDUCTASE,Coenzyme transport and metabolism,,Op1017
cg1801,rpe,BX927147.1,,1694727.0,1695386.0,-,RIBULOSE-5-PHOSPHATE-3-EPIMERASE,Carbohydrate transport and metabolism,,Op1017
cg1802,fmu,BX927147.1,,1695432.0,1696967.0,-,PUTATIVE 16S RRNA M(5)C 967 METHYLTRANSFERASE,"Translation, ribosomal structure and biogenesis",,Op1018
cg1803,fmt,BX927147.1,,1696964.0,1697911.0,-,METHIONYL-TRNA FORMYLTRANSFERASE,"Translation, ribosomal structure and biogenesis",,Op1018
cg1804,def2,BX927147.1,,1697931.0,1698440.0,-,POLYPEPTIDE DEFORMYLASE,"Translation, ribosomal structure and biogenesis",,Op1018
cg1805,priA,BX927147.1,,1698549.0,1700615.0,-,Primosomal protein N' (replication factor Y)-superfamily II helicase,"Replication, recombination and repair",,Op1019
cg1806,metK,BX927147.1,,1700642.0,1701865.0,-,S-Adenosylmethionine Synthetase,Coenzyme transport and metabolism,,Op1019
cg1807,dfp,BX927147.1,,1701973.0,1703148.0,-,DNA/PANTOTHENATE METABOLISM FLAVOPROTEIN,Coenzyme transport and metabolism,,Op1020
cg1808,cg1808,BX927147.1,,1703220.0,1703465.0,+,hypothetical protein predicted by Glimmer,No COG annotation,,Op1021
cg1809,cg1809,BX927147.1,,1703497.0,1703784.0,-,DNA-directed RNA polymerase subunit K/omega,Transcription,,Op1022
cg1810,gmk,BX927147.1,,1703876.0,1704448.0,-,PROBABLE GUANYLATE KINASE PROTEIN,Nucleotide transport and metabolism,,Op1023
cg1811,ihf,BX927147.1,,1704456.0,1704776.0,-,putative integration host factor cIHF,"Translation, ribosomal structure and biogenesis",,Op1023
cg1812,pyrF,BX927147.1,,1704982.0,1705818.0,-,Orotidine-5'-phosphate decarboxylase,Nucleotide transport and metabolism,,Op1024
cg1813,carB,BX927147.1,,1705824.0,1709165.0,-,PUTATIVE CARBAMOYL-PHOSPHATE SYNTHASE SUBUNIT,Nucleotide transport and metabolism,,Op1024
cg1814,carA,BX927147.1,,1709171.0,1710352.0,-,CARBAMOYL PHOSPHATE SYNTHASE SMALL SUBUNIT,Nucleotide transport and metabolism,,Op1024
cg1815,pyrC,BX927147.1,,1710482.0,1711825.0,-,PUTATIVE DIHYDROOROTASE,Nucleotide transport and metabolism,,Op1024
cg1816,pyrB,BX927147.1,,1711878.0,1712816.0,-,ASPARTATE CARBAMOYLTRANSFERASE CATALYTIC CHAIN,Nucleotide transport and metabolism,,Op1024
cg1817,pyrR,BX927147.1,,1712817.0,1713452.0,-,Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase,Nucleotide transport and metabolism,,Op1024
cg1819,cg1819,BX927147.1,,1713704.0,1715230.0,+,nucleoside-diphosphate sugar epimerase (SulA family),Function unknown,,Op1025
cg1821,cg1821,BX927147.1,,1715298.0,1715777.0,+,conserved hypothetical protein,Function unknown,,Op1026
cg1822,cg1822,BX927147.1,,1715767.0,1716231.0,+,conserved hypothetical protein,Function unknown,,Op1026
cg1823,cg1823,BX927147.1,,1716233.0,1716421.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1026
cg1824,nusB,BX927147.1,,1716848.0,1717531.0,-,Transcription termination factor,Transcription,,Op1027
cg1825,efp,BX927147.1,,1717598.0,1718161.0,-,Translation elongation factor P/translation initiation factor eIF-5A,"Translation, ribosomal structure and biogenesis",,Op1028
cg1826,pepQ,BX927147.1,,1718246.0,1719337.0,-,XAA-PRO AMINOPEPTIDASE,Amino acid transport and metabolism,,Op1029
cg1827,aroB,BX927147.1,,1719404.0,1720501.0,-,PROBABLE 3-DEHYDROQUINATE SYNTHASE PROTEIN,Amino acid transport and metabolism,,Op1030
cg1828,aroK,BX927147.1,,1720573.0,1721130.0,-,SHIKIMATE KINASE I,Nucleotide transport and metabolism,,Op1030
cg1829,aroC,BX927147.1,,1721135.0,1722367.0,-,PUTATIVE CHORISMATE SYNTHASE,Amino acid transport and metabolism,,Op1030
cg1830,cg1830,BX927147.1,,1722437.0,1722850.0,-,putative signal peptidase%2C membrane protein%2C cleaves prepilin-like proteins,Cell motility,,Op1031
cg1831,cg1831,BX927147.1,,1722889.0,1723194.0,-,Bacterial regulatory protein%2C arsR family,Transcription,,Op1031
cg1832,cg1832,BX927147.1,,1723249.0,1724325.0,+,ABC-type cobalamin/Fe3+-siderophores transport system%2C permease component,Inorganic ion transport and metabolism,,Op1032
cg1833,cg1833,BX927147.1,,1724339.0,1725298.0,+,ABC-type cobalamin/Fe3+-siderophores transport system%2C secreted component,Inorganic ion transport and metabolism,,Op1032
cg1834,cg1834,BX927147.1,,1725295.0,1726050.0,+,ABC-type cobalamin/Fe3+-siderophores transport system%2C ATPase component,Coenzyme transport and metabolism,,Op1032
cg1835,aroE3,BX927147.1,,1726078.0,1726908.0,-,PROBABLE SHIKIMATE 5-DEHYDROGENASE PROTEIN,Amino acid transport and metabolism,,Op1033
cg1836,cg1836,BX927147.1,,1726925.0,1728094.0,-,secreted solute-binding protein%2C aminodeoxychorismate lyase-like,Function unknown,,Op1033
cg1837,cg1837,BX927147.1,,1728091.0,1728639.0,-,Predicted endonuclease involved in recombination,"Translation, ribosomal structure and biogenesis",,Op1033
cg1838,alaS,BX927147.1,,1728851.0,1731517.0,-,ALANYL-TRNA SYNTHETASE,"Translation, ribosomal structure and biogenesis",,Op1034
cg1839,cg1839,BX927147.1,,1731632.0,1733050.0,-,Uncharacterized ATPase related to the helicase subunit of the Holliday junction resolvase,"Replication, recombination and repair",,Op1035
cg1840,cg1840,BX927147.1,,1733065.0,1734264.0,-,conserved hypothetical protein,Function unknown,,Op1036
cg1841,aspS,BX927147.1,,1734454.0,1736280.0,-,PROBABLE ASPARTYL-TRNA SYNTHETASE PROTEIN,"Translation, ribosomal structure and biogenesis",,Op1037
cg1842,cg1842,BX927147.1,,1736594.0,1737418.0,+,putative secreted metalloprotease,Function unknown,,Op1038
cg1843,cg1843,BX927147.1,,1737470.0,1740148.0,-,Superfamily II DNA/RNA helicase%2C SNF2 family,"Replication, recombination and repair",,Op1039
cg1844,cg1844,BX927147.1,,1740179.0,1742038.0,-,membrane protein,Function unknown,,Op1039
cg1845,cg1845,BX927147.1,,1742038.0,1742688.0,-,conserved hypothetical protein,Inorganic ion transport and metabolism,,Op1039
cg1846,cg1846,BX927147.1,,1742782.0,1743378.0,+,Bacterial regulatory proteins%2C tetR family,Transcription,,Op1040
cg1847,cg1847,BX927147.1,,1743362.0,1744078.0,+,conserved hypothetical protein,Function unknown,,Op1040
cg1848,cg1848,BX927147.1,,1744170.0,1745285.0,+,Coenzyme F420-dependent N5%2CN10-methylene tetrahydromethanopterin reductase or related flavin-depende,Energy production and conversion,,Op1041
cg1849,cg1849,BX927147.1,,1745312.0,1745440.0,+,conserved hypothetical protein,No COG annotation,,Op1042
cg1850,cg1850,BX927147.1,,1745494.0,1745991.0,+,putative flavoprotein,Function unknown,,Op1043
cg1852,sdaA,BX927147.1,,1746353.0,1747702.0,+,PROBABLE L-SERINE DEHYDRATASE (L-SERINE DEAMINASE),Amino acid transport and metabolism,,Op1044
cg1853,glpD,BX927147.1,,1747699.0,1749423.0,-,GLYCEROL-3-PHOSPHATE DEHYDROGENASE,Energy production and conversion,,Op1045
cg1855,hisS,BX927147.1,,1749456.0,1750745.0,-,HISTIDYL-TRNA SYNTHETASE,"Translation, ribosomal structure and biogenesis",,Op1046
cg1856,cg1856,BX927147.1,,1750791.0,1751432.0,-,Zn-dependent hydrolase,Function unknown,,Op1047
cg1857,ppiB,BX927147.1,,1751563.0,1752405.0,+,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE,"Post-translational modification, protein turnover, and chaperones",,Op1048
cg1859,cg1859,BX927147.1,,1752966.0,1753523.0,+,putative secreted protein,No COG annotation,,Op1049
cg1860,cg1860,BX927147.1,,1753725.0,1754000.0,+,putative membrane protein,No COG annotation,,Op1050
cg1861,rel,BX927147.1,,1754084.0,1756366.0,-,PPGPP SYNTHETASE%2C PPGPP PYROPHOSPHORYLASE,Transcription,,Op1051
cg1862,apt,BX927147.1,,1756394.0,1756951.0,-,ADENINE PHOSPHORIBOSYLTRANSFERASE,Nucleotide transport and metabolism,,Op1051
cg1864,cg1864,BX927147.1,,1756955.0,1758556.0,-,ABC-type dipeptide/oligopeptide/nickel transport systems%2C secreted component,Amino acid transport and metabolism,,Op1051
cg1865,secF,BX927147.1,,1759058.0,1760269.0,-,Preprotein translocase subunit SecF,"Intracellular trafficking, secretion, and vesicular transport",,Op1052
cg1867,secD,BX927147.1,,1760272.0,1762185.0,-,Preprotein translocase subunit SecD,"Intracellular trafficking, secretion, and vesicular transport",,Op1052
cg1868,secN,BX927147.1,,1762474.0,1762839.0,-,Preprotein translocase subunit YajC homolog,"Intracellular trafficking, secretion, and vesicular transport",,Op1053
cg1869,ruvB,BX927147.1,,1762888.0,1763979.0,-,Holliday junction resolvasome helicase subunit,"Replication, recombination and repair",,Op1054
cg1870,ruvA,BX927147.1,,1763986.0,1764606.0,-,Holliday junction resolvasome DNA-binding subunit,"Replication, recombination and repair",,Op1054
cg1871,ruvC,BX927147.1,,1764646.0,1765287.0,-,CROSSOVER JUNCTION ENDODEOXYRIBONUCLEASE,"Replication, recombination and repair",,Op1054
cg1872,cg1872,BX927147.1,,1765459.0,1766214.0,-,conserved hypothetical protein,Transcription,,Op1055
cg1873,tesB2,BX927147.1,,1766484.0,1767332.0,-,PROBABLE ACYL-COA THIOESTERASE II PROTEIN,Lipid transport and metabolism,,Op1056
cg1874,cg1874,BX927147.1,,1767441.0,1767917.0,+,putative membrane protein,Function unknown,,Op1057
cg1875,cg1875,BX927147.1,,1767956.0,1768420.0,-,putative membrane protein,Function unknown,,Op1058
cg1876,cg1876,BX927147.1,,1768417.0,1769502.0,-,GLYCOSYL TRANSFERASE,Cell wall/membrane/envelope biogenesis,,Op1058
cg1877,cg1877,BX927147.1,,1769503.0,1770468.0,-,Lauroyl/myristoyl acyltransferase,Cell wall/membrane/envelope biogenesis,,Op1058
cg1878,pgsA1,BX927147.1,,1770491.0,1771150.0,-,Phosphatidylglycerophosphate synthase,Lipid transport and metabolism,,Op1058
cg1879,cg1879,BX927147.1,,1771150.0,1771788.0,-,HIT family hydrolase,Nucleotide transport and metabolism,,Op1058
cg1880,thrS,BX927147.1,,1771796.0,1773898.0,-,THREONYL-TRNA SYNTHETASE,"Translation, ribosomal structure and biogenesis",,Op1058
cg1881,cg1881,BX927147.1,,1774127.0,1775335.0,-,Predicted iron-dependent peroxidase%2C secreted protein,Inorganic ion transport and metabolism,,Op1059
cg1883,cg1883,BX927147.1,,1775362.0,1775910.0,-,putative secreted protein,Function unknown,,Op1059
cg1884,cg1884,BX927147.1,,1775926.0,1776540.0,-,putative membrane protein,Function unknown,,Op1059
cg1890,cg1890,BX927147.1,,1779571.0,1780980.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1060
cg1891,cg1891,BX927147.1,,1781023.0,1781586.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1061
cg1892,cg1892,BX927147.1,,1781976.0,1782377.0,-,conserved hypothetical protein,Function unknown,,Op1062
cg1893,cg1893,BX927147.1,,1782488.0,1783057.0,-,acetyltransferase,Transcription,,Op1063
cg1894,cg1894,BX927147.1,,1783396.0,1784265.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1064
cg1895,cg1895,BX927147.1,,1784363.0,1786945.0,-,putative secreted protein,Carbohydrate transport and metabolism,,Op1065
cg1896,cg1896,BX927147.1,,1787201.0,1788316.0,-,putative secreted protein,Function unknown,,Op1066
cg1897,cg1897,BX927147.1,,1788376.0,1790301.0,-,putative secreted protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op1067
cg1898,cg1898,BX927147.1,,1790552.0,1791037.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1068
cg1899,cg1899,BX927147.1,,1791052.0,1791243.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1068
cg1900,cg1900,BX927147.1,,1791305.0,1791532.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1069
cg1901,cg1901,BX927147.1,,1791930.0,1792310.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1070
cg1902,cg1902,BX927147.1,,1792303.0,1792428.0,-,putative secreted protein,No COG annotation,,Op1071
cg1903,cg1903,BX927147.1,,1793314.0,1793913.0,+,ABC-type multidrug transport system%2C ATPase component,Defense mechanisms,,Op1072
cg1904,cg1904,BX927147.1,,1793900.0,1794901.0,+,putative membrane protein,No COG annotation,,Op1072
cg1905,cg1905,BX927147.1,,1795186.0,1796295.0,+,hypothetical protein predicted by Glimmer/Critica,Cell wall/membrane/envelope biogenesis,,Op1073
cg1906,cg1906,BX927147.1,,1796296.0,1797096.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1073
cg1907,cg1907,BX927147.1,,1797096.0,1797656.0,+,putative phosphopantothenoylcysteine synthetase/decarboxylase,Coenzyme transport and metabolism,,Op1073
cg1908,cg1908,BX927147.1,,1797658.0,1798524.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1073
cg1909,cg1909,BX927147.1,,1798822.0,1799244.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1074
cg1910,cg1910,BX927147.1,,1799319.0,1799441.0,-,putative secreted or membrane protein,No COG annotation,,Op1075
cg1911,cg1911,BX927147.1,,1799492.0,1800229.0,-,putative secreted protein,No COG annotation,,Op1076
cg1912,cg1912,BX927147.1,,1800654.0,1800881.0,+,hypothetical protein predicted by Glimmer/Critica,"Post-translational modification, protein turnover, and chaperones",,Op1077
cg1913,cg1913,BX927147.1,,1800945.0,1801841.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1078
cg1914,cg1914,BX927147.1,,1802102.0,1802233.0,+,hypothetical protein predicted by Glimmer,No COG annotation,,Op1079
cg1915,cg1915,BX927147.1,,1802345.0,1802782.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1080
cg1916,cg1916,BX927147.1,,1802966.0,1803571.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1081
cg1917,cg1917,BX927147.1,,1803624.0,1804049.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1082
cg1918,cg1918,BX927147.1,,1804361.0,1804894.0,+,putative secreted protein,No COG annotation,,Op1083
cg1919,cg1919,BX927147.1,,1805033.0,1805368.0,+,putative membrane protein,No COG annotation,,Op1084
cg1920,cg1920,BX927147.1,,1805606.0,1806073.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1085
cg1921,cg1921,BX927147.1,,1806101.0,1806340.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1085
cg1922,cg1922,BX927147.1,,1806460.0,1807074.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1086
cg1923,cg1923,BX927147.1,,1807247.0,1808161.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1087
cg1924,cg1924,BX927147.1,,1808219.0,1808374.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1088
cg1925,cg1925,BX927147.1,,1808662.0,1808871.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1089
cg1926,cg1926,BX927147.1,,1808905.0,1809588.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1090
cg1927,cg1927,BX927147.1,,1809609.0,1809896.0,+,putative molecular chaperone,No COG annotation,,Op1090
cg1928,cg1928,BX927147.1,,1809972.0,1810307.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1091
cg1929,res,BX927147.1,,1811233.0,1811847.0,+,RESOLVASE FAMILY RECOMBINASE,"Replication, recombination and repair",,Op1092
cg1930,cg1930,BX927147.1,,1812025.0,1813020.0,+,putative secreted hydrolase,"Post-translational modification, protein turnover, and chaperones",,Op1093
cg1931,cg1931,BX927147.1,,1813036.0,1813413.0,+,putative secreted protein,No COG annotation,,Op1093
cg1932,ppp2,BX927147.1,,1813687.0,1814166.0,+,probable protein phosphatase,Signal transduction mechanisms,,Op1094
cg1934,cg1934,BX927147.1,,1814353.0,1815081.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op1095
